id,formula,tc,origin,severity,n_flags,reasons
La1.8Sr0.2Cu0.995Fe0.005O4-MP-mp-1077929.cif,La1.8Sr0.2Cu0.995Fe0.005O4,25.5,new,1,1,A:trace-dopant(Fe 0.0007)
La1.85Sr0.016Ca0.074Ba0.06Cu1O4.01-MP-icsd-41494.cif,La1.85Sr0.016Ca0.074Ba0.06Cu1O4.01,25.4,new,1,1,A:trace-dopant(Sr 0.0023)
La0.8Y0.2Fe0.99Mn0.01As1F0.11O0.89-MP-mp-1223197.cif,La0.8Y0.2Fe0.99Mn0.01As1F0.11O0.89,25.3,new,1,1,A:trace-dopant(Mn 0.0025)
La1.85Sr0.15Cu0.99Co0.01O4-MP-mp-1077929.cif,La1.85Sr0.15Cu0.99Co0.01O4,25.2,new,1,1,A:trace-dopant(Co 0.0014)
Y1Ba2Cu2.95Zn0.05O6.69-MP-mp-1228425.cif,Y1Ba2Cu2.95Zn0.05O6.69,25.0,new,1,1,A:trace-dopant(Zn 0.0039)
La1.825Sr0.175Cu0.985Ni0.015O4-MP-mp-1077929.cif,La1.825Sr0.175Cu0.985Ni0.015O4,25.0,new,1,1,A:trace-dopant(Ni 0.0021)
La1.83Sr0.17Cu0.99Zn0.01O4-MP-mp-1077929.cif,La1.83Sr0.17Cu0.99Zn0.01O4,25.0,new,1,1,A:trace-dopant(Zn 0.0014)
La1.855Sr0.145Cu0.99Zn0.01O4-MP-mp-1077929.cif,La1.855Sr0.145Cu0.99Zn0.01O4,24.7,new,1,1,A:trace-dopant(Zn 0.0014)
La1Fe0.9875Co0.0125As1F0.11O0.89-MP-mp-1281007.cif,La1Fe0.9875Co0.0125As1F0.11O0.89,24.5,new,1,1,A:trace-dopant(Co 0.0031)
La0.9Y0.1Fe0.995Mn0.005As1F0.11O0.89-MP-mp-1281007.cif,La0.9Y0.1Fe0.995Mn0.005As1F0.11O0.89,24.1,new,1,1,A:trace-dopant(Mn 0.0013)
La1.85Sr0.03Ca0.066Ba0.054Cu1O4-MP-mp-1077929.cif,La1.85Sr0.03Ca0.066Ba0.054Cu1O4,24.0,new,1,1,A:trace-dopant(Sr 0.0043)
Y1Ba2Cu2.95Zn0.05O6.56-MP-mp-1228425.cif,Y1Ba2Cu2.95Zn0.05O6.56,24.0,new,1,1,A:trace-dopant(Zn 0.0040)
La1.815Sr0.185Cu0.99Zn0.01O4-MP-mp-1077929.cif,La1.815Sr0.185Cu0.99Zn0.01O4,24.0,new,1,1,A:trace-dopant(Zn 0.0014)
La1.87Sr0.13Cu0.9925Zn0.0075O4-MP-mp-1077929.cif,La1.87Sr0.13Cu0.9925Zn0.0075O4,23.73,new,1,1,A:trace-dopant(Zn 0.0011)
La1.9Sr0.1Cu0.9975Zn0.0025O4-MP-mp-1077929.cif,La1.9Sr0.1Cu0.9975Zn0.0025O4,23.655,new,1,1,A:trace-dopant(Zn 0.0004)
La1.8Sr0.2Cu0.9883Zn0.0117O4-MP-mp-1077929.cif,La1.8Sr0.2Cu0.9883Zn0.0117O4,23.6,new,1,1,A:trace-dopant(Zn 0.0017)
La1.85Sr0.016Ca0.074Ba0.06Cu1O4-MP-mp-1077929.cif,La1.85Sr0.016Ca0.074Ba0.06Cu1O4,23.5,new,1,1,A:trace-dopant(Sr 0.0023)
Ba0.6K0.4Bi0.979Pr0.021O3-MP-mp-1516766.cif,Ba0.6K0.4Bi0.979Pr0.021O3,23.5,new,1,1,A:trace-dopant(Pr 0.0042)
Y1Ba2Cu2.95Zn0.05O6.63-MP-mp-1228425.cif,Y1Ba2Cu2.95Zn0.05O6.63,23.0,new,1,1,A:trace-dopant(Zn 0.0040)
