id,formula,tc,origin,cls,n_nbr,nbr_median,nbr_min,nbr_max,nearest,nearest_tc,nearest_dist,chemsys
La1.73Sr0.27Cu0.94Ni0.06O4-MP-mp-1077929.cif,La1.73Sr0.27Cu0.94Ni0.06O4,34.4,new,mid-outlier,23,4.7,0.0,36.5,La1.71Sr0.29Cu0.94Ni0.06O4,30.4,0.006,Cu-La-Ni-O-Sr
Sm1Ba2Cu3O6.62-MP-mp-21451.cif,Sm1Ba2Cu3O6.62,34.2,new,mid-outlier,18,71.7,0.0,91.1,Sm1Ba2Cu3O6.64,0.0,0.002,Ba-Cu-O-Sm
Y1Ba1Sr1Cu3O6.685-MP-icsd-63321.cif,Y1Ba1Sr1Cu3O6.685,34.0,new,mid-outlier,8,81.9,58.5,86.1,Y1Ba1Sr1Cu3O6.83,58.5,0.011,Ba-Cu-O-Sr-Y
La1.1Ba1.5Ca0.4Cu3O6.76-MP-mp-1228470.cif,La1.1Ba1.5Ca0.4Cu3O6.76,34.0,new,mid-outlier,17,70.0,0.0,79.9,La1.1Ba1.5Ca0.4Cu3O6.82,72.0,0.004,Ba-Ca-Cu-La-O
La1.85Sr0.15Cu0.997Fe0.003O4-MP-mp-1077929.cif,La1.85Sr0.15Cu0.997Fe0.003O4,33.6,new,mid-outlier,13,15.0,0.0,32.5,La1.85Sr0.15Cu0.996Fe0.004O4,27.825,0.0,Cu-Fe-La-O-Sr
Ba0.105Cu1La1.895O4-MP-mp-1077929-synth_doped.cif,Ba0.105Cu1La1.895O4,33.1,V45,mid-outlier,40,13.1,0.0,32.0,Ba0.103Cu1La1.897O4,14.5,0.001,Ba-Cu-La-O
Y0.8Pr0.2Ba2Cu3.95Fe0.05O8-MP-mp-1229203.cif,Y0.8Pr0.2Ba2Cu3.95Fe0.05O8,33.0,new,mid-outlier,3,10.0,0.0,46.0,Y0.8Pr0.2Ba2Cu3.975Fe0.025O8,46.0,0.003,Ba-Cu-Fe-O-Pr-Y
La1.835Sr0.165Cu0.995Ni0.005O4-MP-mp-1077929.cif,La1.835Sr0.165Cu0.995Ni0.005O4,33.0,new,mid-outlier,57,0.0,0.0,33.0,La1.83Sr0.17Cu0.99Ni0.01O4,30.1,0.003,Cu-La-Ni-O-Sr
Ba1.9Cu3La0.1Y1O6.5-MP-mp-20897-synth_doped.cif,Ba1.9Cu3La0.1Y1O6.5,32.9,V45,mid-outlier,11,67.0,0.0,99.0,Y1Ba1.9La0.1Cu3O6.6,50.6,0.008,Ba-Cu-La-O-Y
Sm1Ba2Cu3O6.65-MP-mp-21451.cif,Sm1Ba2Cu3O6.65,32.8,new,mid-outlier,20,71.7,0.0,91.1,Sm1Ba2Cu3O6.64,0.0,0.001,Ba-Cu-O-Sm
La1.84Sr0.16Cu0.99Fe0.01O4-MP-mp-1077929.cif,La1.84Sr0.16Cu0.99Fe0.01O4,32.5,new,mid-outlier,14,14.8,0.0,33.6,La1.85Sr0.15Cu0.988Fe0.012O4,8.4,0.003,Cu-Fe-La-O-Sr
Y0.8Ca0.2Ba2Cu3O6.41-MP-mp-20897.cif,Y0.8Ca0.2Ba2Cu3O6.41,32.4,new,mid-outlier,20,68.0,0.0,84.2,Y0.8Ca0.2Ba2Cu3O6.4,52.6,0.001,Ba-Ca-Cu-O-Y
Ba0.094Cu1La1.906O4-MP-mp-1077929-synth_doped.cif,Ba0.094Cu1La1.906O4,32.0,V45,mid-outlier,39,12.3,0.0,33.1,Ba0.095Cu1La1.905O4,29.0,0.0,Ba-Cu-La-O
La1.85Sr0.038Ba0.112Cu1O4-MP-mp-1077929.cif,La1.85Sr0.038Ba0.112Cu1O4,32.0,new,mid-outlier,6,12.8,6.0,31.7,La1.875Ba0.1Sr0.025Cu1O4,6.0,0.007,Ba-Cu-La-O-Sr
La1.81Sr0.15Ho0.04Cu1O4-MP-mp-1077929.cif,La1.81Sr0.15Ho0.04Cu1O4,31.825,new,mid-outlier,3,12.8,9.95,27.85,La1.85Sr0.11Ho0.04Cu1O4,12.8,0.011,Cu-Ho-La-O-Sr
La1.875Ba0.04Sr0.085Cu1O4-MP-mp-1077929.cif,La1.875Ba0.04Sr0.085Cu1O4,31.7,new,mid-outlier,7,15.2,6.0,32.0,La1.875Ba0.05Sr0.075Cu1O4,15.25,0.003,Ba-Cu-La-O-Sr
Nd1Ba2Cu3O6.67-MP-mp-22719.cif,Nd1Ba2Cu3O6.67,31.65,new,mid-outlier,16,77.8,0.0,94.0,Nd1Ba2Cu3O6.6,14.0,0.005,Ba-Cu-Nd-O
La1.875Ba0.005Sr0.12Cu1O4-MP-mp-1077929.cif,La1.875Ba0.005Sr0.12Cu1O4,31.1,new,mid-outlier,6,12.8,6.0,31.7,La1.875Ba0.025Sr0.1Cu1O4,29.65,0.006,Ba-Cu-La-O-Sr
La1.85Sr0.15Cu0.9925Zn0.0075O4-MP-mp-1077929.cif,La1.85Sr0.15Cu0.9925Zn0.0075O4,30.8375,new,mid-outlier,65,13.0,0.0,34.8,La1.85Sr0.15Cu0.99Zn0.01O4,28.36,0.001,Cu-La-O-Sr-Zn
Y1Ba2Cu2.9Fe0.1O6.72-MP-mp-1228425.cif,Y1Ba2Cu2.9Fe0.1O6.72,30.75,new,mid-outlier,42,65.7,0.0,91.8,Y1Ba2Cu2.9Fe0.1O6.75,37.4,0.002,Ba-Cu-Fe-O-Y
La1.85Sr0.15Cu0.996Co0.004O4-MP-mp-1077929.cif,La1.85Sr0.15Cu0.996Co0.004O4,30.6,new,mid-outlier,12,12.9,0.0,34.8,La1.85Sr0.15Cu0.9975Co0.0025O4,34.8,0.0,Co-Cu-La-O-Sr
La1.71Sr0.29Cu0.94Ni0.06O4-MP-mp-1077929.cif,La1.71Sr0.29Cu0.94Ni0.06O4,30.4,new,mid-outlier,17,4.7,0.0,36.5,La1.73Sr0.27Cu0.94Ni0.06O4,34.4,0.006,Cu-La-Ni-O-Sr
