id,formula,tc,origin,cluster,n,n_zero,n_pos,action
Sm1Ba2Cu3O6.53-MP-mp-21451.cif,Sm1Ba2Cu3O6.53,0.0,new,Ba-Cu-O-Sm|Sm1Ba2Cu3O7.11,19,4,15,minority zero (4 zero vs 15 SC)
Sm1Ba2Cu3O6.467-MP-mp-1229115.cif,Sm1Ba2Cu3O6.467,0.0,new,Ba-Cu-O-Sm|Sm1Ba2Cu3O7.11,19,4,15,minority zero (4 zero vs 15 SC)
Sm1Ba2Cu3O7.06-MP-icsd-68194.cif,Sm1Ba2Cu3O7.06,0.0,new,Ba-Cu-O-Sm|Sm1Ba2Cu3O7.11,19,4,15,minority zero (4 zero vs 15 SC)
Ba1.6Sr0.4Yb1Cu3O6.42-MP-mp-1099602.cif,Ba1.6Sr0.4Yb1Cu3O6.42,0.0,new,Ba-Cu-O-Sr-Yb|Ba1.6Sr0.4Yb1Cu3O6.53,3,1,2,minority zero (1 zero vs 2 SC)
Y1Ba1.38Sr0.62Cu4O8-MP-mp-1227433.cif,Y1Ba1.38Sr0.62Cu4O8,0.0,new,Ba-Cu-O-Sr-Y|Y1Ba1.4Sr0.6Cu4O7.95,4,1,3,minority zero (1 zero vs 3 SC)
Ba1.75Cu4Sr0.25Y1O8-MP-mp-6790-synth_doped.cif,Ba1.75Cu4Sr0.25Y1O8,0.0,V45,Ba-Cu-O-Sr-Y|Y1Ba1.8Sr0.2Cu4O7.95,6,2,4,minority zero (2 zero vs 4 SC)
Ba1.78Cu4Sr0.22Y1O8-MP-mp-6790-synth_doped.cif,Ba1.78Cu4Sr0.22Y1O8,0.0,V45,Ba-Cu-O-Sr-Y|Y1Ba1.8Sr0.2Cu4O7.95,6,2,4,minority zero (2 zero vs 4 SC)
Ba2.02Cu1.01Tl1.97O6.16-MP-mp-6027-synth_doped.cif,Ba2.02Cu1.01Tl1.97O6.16,0.0,V45,Ba-Cu-O-Tl|Ba2Cu1Tl2O6.12,17,3,14,minority zero (3 zero vs 14 SC)
Ba2Cu1Tl2O6.164-MP-mp-6027-synth_doped.cif,Ba2Cu1Tl2O6.164,0.0,V45,Ba-Cu-O-Tl|Ba2Cu1Tl2O6.12,17,3,14,minority zero (3 zero vs 14 SC)
Ba2Cu1Tl2O6.23-MP-mp-6027-synth_doped.cif,Ba2Cu1Tl2O6.23,0.0,V45,Ba-Cu-O-Tl|Ba2Cu1Tl2O6.12,17,3,14,minority zero (3 zero vs 14 SC)
Tm1Ba2Cu3O6.37-MP-mp-1228146.cif,Tm1Ba2Cu3O6.37,0.0,new,Ba-Cu-O-Tm|Tm1Ba2Cu3O6.49,4,1,3,minority zero (1 zero vs 3 SC)
Y1Ba2Cu2.7Zn0.3O6.92-MP-mp-20674.cif,Y1Ba2Cu2.7Zn0.3O6.92,47.2,new,Ba-Cu-O-Y-Zn|Y1Ba2Cu2.7Zn0.3O6.92,5,4,1,minority sc (4 zero vs 1 SC)
Y1Ba2Cu2.79Zn0.21O6.9-MP-mp-20674.cif,Y1Ba2Cu2.79Zn0.21O6.9,0.0,new,Ba-Cu-O-Y-Zn|Y1Ba2Cu2.9955Zn0.0045O6.95,99,21,78,minority zero (21 zero vs 78 SC)
Y1Ba2Cu2.826Zn0.174O6.89-MP-mp-20674.cif,Y1Ba2Cu2.826Zn0.174O6.89,0.0,new,Ba-Cu-O-Y-Zn|Y1Ba2Cu2.9955Zn0.0045O6.95,99,21,78,minority zero (21 zero vs 78 SC)
Y1Ba2Cu2.883Zn0.117O6.9-MP-mp-20674.cif,Y1Ba2Cu2.883Zn0.117O6.9,0.0,new,Ba-Cu-O-Y-Zn|Y1Ba2Cu2.9955Zn0.0045O6.95,99,21,78,minority zero (21 zero vs 78 SC)
Y1Ba2Cu2.94Zn0.06O6.91-MP-mp-20674.cif,Y1Ba2Cu2.94Zn0.06O6.91,0.0,new,Ba-Cu-O-Y-Zn|Y1Ba2Cu2.9955Zn0.0045O6.95,99,21,78,minority zero (21 zero vs 78 SC)
Y1Ba2Cu2.841Zn0.159O6.89-MP-mp-20674.cif,Y1Ba2Cu2.841Zn0.159O6.89,0.0,new,Ba-Cu-O-Y-Zn|Y1Ba2Cu2.9955Zn0.0045O6.95,99,21,78,minority zero (21 zero vs 78 SC)
Y1Ba2Cu2.79Zn0.21O6.81-MP-mp-20674.cif,Y1Ba2Cu2.79Zn0.21O6.81,0.0,new,Ba-Cu-O-Y-Zn|Y1Ba2Cu2.9955Zn0.0045O6.95,99,21,78,minority zero (21 zero vs 78 SC)
Y1Ba2Cu2.79Zn0.21O6.74-MP-mp-1228425.cif,Y1Ba2Cu2.79Zn0.21O6.74,0.0,new,Ba-Cu-O-Y-Zn|Y1Ba2Cu2.9955Zn0.0045O6.95,99,21,78,minority zero (21 zero vs 78 SC)
Y1Ba2Cu2.79Zn0.21O6.76-MP-mp-1228903.cif,Y1Ba2Cu2.79Zn0.21O6.76,0.0,new,Ba-Cu-O-Y-Zn|Y1Ba2Cu2.9955Zn0.0045O6.95,99,21,78,minority zero (21 zero vs 78 SC)
Y1Ba2Cu2.79Zn0.21O6.7-MP-mp-1228425.cif,Y1Ba2Cu2.79Zn0.21O6.7,0.0,new,Ba-Cu-O-Y-Zn|Y1Ba2Cu2.9955Zn0.0045O6.95,99,21,78,minority zero (21 zero vs 78 SC)
Y1Ba2Cu2.88Zn0.12O6.63-MP-mp-1228425.cif,Y1Ba2Cu2.88Zn0.12O6.63,0.0,new,Ba-Cu-O-Y-Zn|Y1Ba2Cu2.9955Zn0.0045O6.95,99,21,78,minority zero (21 zero vs 78 SC)
Y1Ba2Cu2.91Zn0.09O6.63-MP-mp-1228425.cif,Y1Ba2Cu2.91Zn0.09O6.63,0.0,new,Ba-Cu-O-Y-Zn|Y1Ba2Cu2.9955Zn0.0045O6.95,99,21,78,minority zero (21 zero vs 78 SC)
Y1Ba2Cu2.91Zn0.09O6.56-MP-mp-1228425.cif,Y1Ba2Cu2.91Zn0.09O6.56,0.0,new,Ba-Cu-O-Y-Zn|Y1Ba2Cu2.9955Zn0.0045O6.95,99,21,78,minority zero (21 zero vs 78 SC)
Y1Ba2Cu2.91Zn0.09O6.44-MP-mp-20897.cif,Y1Ba2Cu2.91Zn0.09O6.44,0.0,new,Ba-Cu-O-Y-Zn|Y1Ba2Cu2.9955Zn0.0045O6.95,99,21,78,minority zero (21 zero vs 78 SC)
Y1Ba2Cu2.94Zn0.06O6.42-MP-mp-1228903.cif,Y1Ba2Cu2.94Zn0.06O6.42,0.0,new,Ba-Cu-O-Y-Zn|Y1Ba2Cu2.9955Zn0.0045O6.95,99,21,78,minority zero (21 zero vs 78 SC)
Y1Ba2Cu2.94Zn0.06O6.38-MP-mp-1229067.cif,Y1Ba2Cu2.94Zn0.06O6.38,0.0,new,Ba-Cu-O-Y-Zn|Y1Ba2Cu2.9955Zn0.0045O6.95,99,21,78,minority zero (21 zero vs 78 SC)
Y1Ba2Cu2.94Zn0.06O6.33-MP-mp-1229067.cif,Y1Ba2Cu2.94Zn0.06O6.33,0.0,new,Ba-Cu-O-Y-Zn|Y1Ba2Cu2.9955Zn0.0045O6.95,99,21,78,minority zero (21 zero vs 78 SC)
