id,tc_38,std_38,tc_49,std_49,tc_51,std_51,tc_mean,tc_min,tc_max,formula,e_above_hull,band_gap,is_metal,theoretical,nsites,spacegroup,crystal_system,is_magnetic,magnetization,density,known_parent,chem,supercon_tc_exact,supercon_tc_family,supercon
mp-676828,0.269,0.219,0.562,0.117,0.151,0.134,0.32733333333333337,0.151,0.562,ZnCuAs,0.11117016895833265,0.0,True,True,12.0,Pna2_1,Orthorhombic,False,0.0002535,6.508400297503092,False,other,,,none
mp-1080612,0.864,1.072,0.093,0.073,0.025,0.036,0.3273333333333333,0.025,0.864,GdAlCu,0.0,0.0,True,False,9.0,P-62m,Hexagonal,False,7.6442336,7.0876761632738114,False,other,,,none
mp-1191378,0.151,0.117,0.063,0.006,0.768,0.281,0.3273333333333333,0.063,0.768,Tb3SbO7,0.0,2.7520000000000002,False,False,22.0,Cmcm,Orthorhombic,False,0.0,8.043583746467245,False,other,,,none
mp-768154,0.482,0.217,0.5,0.24,0.0,0.0,0.3273333333333333,0.0,0.5,Na3MgPCO7,0.0,4.5243,False,False,26.0,P2_1/m,Monoclinic,False,0.0,2.7873350666744607,False,other,,,none
mp-1212334,0.41,0.218,0.382,0.135,0.19,0.177,0.3273333333333333,0.19,0.41,Ho4Ni,0.4517763740000005,0.0,True,True,10.0,Fd-3m,Cubic,False,0.0126824,8.13185897974034,False,other,,0.0,family
mp-542831,0.127,0.191,0.726,0.56,0.129,0.109,0.3273333333333333,0.127,0.726,Gd2SiO5,0.0,3.0786999999999995,False,False,32.0,P2_1/c,Monoclinic,False,56.0000009,6.773703378283097,False,other,,,none
mp-1185587,0.652,0.548,0.23,0.406,0.1,0.133,0.3273333333333333,0.1,0.652,Gd2PdRh,2.5988902737500013,0.0,True,True,4.0,Fm-3m,Cubic,True,2.8390894,10.012998352166031,False,other,,,none
mp-1226557,0.384,0.651,0.072,0.11,0.526,0.596,0.3273333333333333,0.072,0.526,CePr4O10,0.07706524449999641,0.0,True,True,15.0,I4/m,Tetragonal,True,3.999615,6.296436975278847,False,other,,,none
mp-975641,0.377,0.343,0.105,0.165,0.5,0.581,0.3273333333333333,0.105,0.5,Pr3Cd,0.05499708666667047,0.0,True,True,4.0,I4/mmm,Tetragonal,False,1e-07,7.12094226430847,False,other,,,none
mp-1078757,0.538,0.542,0.212,0.159,0.232,0.189,0.3273333333333333,0.212,0.538,NdAlNi,0.0,0.0,True,False,9.0,P-62m,Hexagonal,False,2.6e-06,6.631051350405704,False,other,,,none
mp-559756,0.535,0.347,0.062,0.094,0.385,0.387,0.3273333333333333,0.062,0.535,PrScO3,0.0,4.2605,False,False,20.0,Pnma,Orthorhombic,False,0.0,5.89364906475246,False,other,,,none
mp-864685,0.255,0.078,0.465,0.126,0.262,0.073,0.3273333333333333,0.255,0.465,Nd2In8Pd,0.007254005917355144,0.0,True,False,11.0,P4/mmm,Tetragonal,False,1e-07,8.061679241887585,False,other,,,none
mp-1226968,0.57,0.079,0.133,0.132,0.279,0.187,0.3273333333333333,0.133,0.57,CaZrV2O8,0.014330516770831636,2.525,False,True,12.0,I-4m2,Tetragonal,False,8e-07,3.799461713156057,False,other,,,none
mp-998627,0.598,0.279,0.113,0.169,0.271,0.16,0.3273333333333333,0.113,0.598,NaMoO3,0.08824383200000163,0.0,True,True,10.0,R3c,Trigonal,True,2.0013502,4.626929685805675,False,other,,0.0,family
mp-29989,0.419,0.215,0.373,0.248,0.19,0.175,0.3273333333333333,0.19,0.419,Sm3(SiIr)2,0.0,0.0,True,False,14.0,Cmcm,Orthorhombic,False,2e-07,10.140331315278866,False,other,,,none
